country,genre,survey_score,kf_score,survey_source,youtube_views,youtube_matched_videos,youtube_error,youtube_source,trends_interest,trends_source,kf_count,kf_source,export_usd,customs_source,survey_norm,youtube_norm,trends_norm,L2_norm,wa,wb,wg,L3_norm,L1_norm,dsi,genre_weight,weighted_dsi
TH,kfashion,45,65,sample_baseline,0,0,search_http_429,youtube_api,2.0,trends_api,52,kf_api,1334720.0,customs_api,70.37037037037037,50.0,28.57142857142857,74.19354838709677,0.4,0.35,0.25,52.79100529100529,2.7070683744948107,34.169799761577494,0.1401,4.7871889465970066
TH,ktourism,37,65,sample_baseline,0,0,search_http_429,youtube_api,2.0,trends_api,52,kf_api,40000.0,sample_kto,40.909090909090914,50.0,40.0,74.19354838709677,0.4,0.35,0.25,43.86363636363637,11.864406779661017,36.96299517868681,0.056,2.0699277300064614
ID,kpop,86,69,sample_baseline,5619838,9,,youtube_api,13.0,trends_api,31,kf_api,,,94.44444444444444,6.073734232963603,17.073170731707318,6.451612903225806,0.4,0.35,0.25,44.171877442241865,,21.53971871883223,0.1228,2.645077458672598
ID,kvideo,68,69,sample_baseline,0,0,search_http_429,youtube_api,5.0,trends_api,31,kf_api,,,88.88888888888889,0.0,16.0,6.451612903225806,0.4,0.35,0.25,39.55555555555556,,19.693189964157707,0.1287,2.534513548387097
ID,kgame,69,69,sample_baseline,0,0,search_http_429,youtube_api,9.0,trends_api,31,kf_api,,,95.0,0.0,7.042253521126761,6.451612903225806,0.4,0.35,0.25,39.76056338028169,,19.77519309404816,0.1067,2.1100131031349387
ID,kwebtoon,66,69,sample_baseline,0,0,search_http_429,youtube_api,27.0,trends_api,31,kf_api,,,92.3076923076923,50.0,100.0,6.451612903225806,0.4,0.35,0.25,79.42307692307693,,35.640198511166254,0.0615,2.191872208436725
ID,kfood,54,69,sample_baseline,316203,1,,youtube_api,3.0,trends_api,31,kf_api,11607210.0,customs_api,88.88888888888889,100.0,8.695652173913043,6.451612903225806,0.4,0.35,0.25,72.72946859903382,7.322386318175283,20.14257074986215,0.1677,3.377909114751882
ID,kbeauty,61,69,sample_baseline,0,0,search_http_429,youtube_api,2.0,trends_api,31,kf_api,29934860.0,customs_api,67.56756756756756,0.0,6.666666666666667,6.451612903225806,0.4,0.35,0.25,28.693693693693696,5.193254286977968,10.270849753195465,0.2165,2.2236389715668183
ID,kfashion,44,69,sample_baseline,0,0,search_http_429,youtube_api,2.0,trends_api,31,kf_api,326070.0,customs_api,66.66666666666666,50.0,28.57142857142857,6.451612903225806,0.4,0.35,0.25,51.30952380952381,0.6610167662432744,12.527897015994142,0.1401,1.7551583719407793
ID,ktourism,41,69,sample_baseline,0,0,search_http_429,youtube_api,1.0,trends_api,31,kf_api,35000.0,sample_kto,59.09090909090909,50.0,20.0,6.451612903225806,0.4,0.35,0.25,46.13636363636364,10.16949152542373,16.247502360952335,0.056,0.9098601322133308
